title,body,labels,milestone
"项目初始化：Expo 脚手架搭建","使用 `npx create-expo-app@latest dismantle --template blank-typescript` 创建项目。配置 TypeScript strict mode。确认 `npx expo start --ios` 可运行。","Sprint 0,setup","Sprint 0"
"项目初始化：Supabase 后端配置","创建 Supabase 项目。配置数据库 Schema：anxiety_sessions, compass_profiles, user_settings 三张表。启用 Auth（email）。配置 Row Level Security。","Sprint 0,backend","Sprint 0"
"项目初始化：Git 仓库 + CI/CD","`git init`，创建 `.gitignore`，创建 GitHub 仓库。配置 GitHub Actions：PR 检查（lint + type check）、合并 main 自动构建 Expo。","Sprint 0,devops","Sprint 0"
"项目初始化：环境变量管理","配置 `.env` 文件（SUPABASE_URL, SUPABASE_ANON_KEY）。使用 `expo-constants` 管理。`.env` 加入 `.gitignore`。","Sprint 0,setup","Sprint 0"
"项目初始化：App Icon + Splash Screen","设计 1024×1024 App Icon，生成各尺寸。配置 Splash Screen 背景色和 Logo。","Sprint 0,design","Sprint 0"
"项目初始化：基础导航框架","安装 React Navigation。创建底部 Tab Navigator（4 Tab 占位）。创建 Stack Navigator 骨架。配置深色/浅色主题 Context。","Sprint 0,navigation","Sprint 0"
"项目初始化：Apple Developer 账号","注册 Apple Developer Program（$99/年）。配置 Bundle ID、开发证书、Provisioning Profile。","Sprint 0,ios","Sprint 0"
"项目初始化：Node/Expo/Xcode 环境","安装 Node.js 22 LTS、Xcode 16+、CocoaPods。安装 Expo CLI。确认 iOS 模拟器可用。","Sprint 0,setup","Sprint 0"
"设计系统：颜色系统与主题 Context","实现 A+B 融合主题：日间暖调（#F5F0EB + #C47B5A）+ 夜间暗夜微光（#1A1D24 + #E8A940）。ThemeContext 支持手动切换+跟随系统。","Sprint 1,design","Sprint 1"
"设计系统：Typography 系统","定义字体层级（caption/body/subtitle/title/heading/display）。使用 SF Pro Display。创建 AppText 组件封装。","Sprint 1,design","Sprint 1"
"设计系统：Button 组件","Primary/Secondary/Ghost 三种变体。sm/md/lg 尺寸。loading（spinner）+ disabled 状态。触感反馈（expo-haptics）。","Sprint 1,component","Sprint 1"
"设计系统：Input 组件","文本输入封装。placeholder、多行、左侧图标、错误状态（红框+文案）、字符计数。聚焦强调色。","Sprint 1,component","Sprint 1"
"设计系统：Card 组件","default/interactive 变体。padding 预设。阴影层级。interactive 模式 onPress 缩放反馈。","Sprint 1,component","Sprint 1"
"设计系统：Chip/Tag 组件","可选中标签。选中态：强调色背景+白色文字。用于情绪选择、认知扭曲标签。","Sprint 1,component","Sprint 1"
"设计系统：Toggle Switch 组件","iOS 风格开关。on/off 状态切换动画。用于提醒开关、设置页。","Sprint 1,component","Sprint 1"
"设计系统：Progress Bar 组件","水平进度条 0-100%。动画过渡。用于拆解流程 4 步骤进度指示。","Sprint 1,component","Sprint 1"
